S.No,e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Tender Links,Organisation Name
11,2023-02-07 10:00:00,2023-02-27 15:00:00,2023-02-28 15:00:00,[Operation of Apron Drive Glass Walled Passenger Boarding Bridge and Visual Docking Guidance System at Surat Airport for 2023-26.]  [AAI/SRT/AGM(E-E)/eNIT-08/22-23][2023_AAI_144315_1],Airports Authority of India||Western Region - AAI||SURAT - AAI||ENGG ELECT-VASU - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Sm1ydWojI5BJmMBmQ1%2FkBTg%3D%3D,Airports Authority of India
12,2023-02-06 18:55:00,2023-03-03 18:00:00,2023-03-06 11:00:00,[Provision of kitchen exhaust system and providing of fire rated painting and fire sealants to existing fire evacuation /ventilation ducts.]  [AAI/PUNE/E-E/KITCHEN- EX/E-NIT-03/22-23][2023_AAI_144148_1],Airports Authority of India||Southern Region - AAI||BELAGAVI - AAI||ENGG ELECT_VOBM - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SmZWCO%2BDEQpaMApR3sHrTCg%3D%3D,Airports Authority of India
13,2023-02-06 18:30:00,2023-03-01 18:00:00,2023-03-03 11:00:00,"[Facelift works like Provision of ACP Cladding at Arrival and Departure Hall, Provision of metal false ceiling, Provision of Granite flooring and miscellaneous works at Kadapa Airport]  [AAI/ENGG(C)/FALSE CEILING/2022-23][2023_AAI_143777_1]",Airports Authority of India||Southern Region - AAI||TIRUPATI - AAI||ENGG CIVIL-VOTP - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S2c3sbf2UZrrjUWLcBlUDMg%3D%3D,Airports Authority of India
14,2023-02-06 18:00:00,2023-02-27 18:00:00,2023-03-01 11:00:00,[AR MO of Civil works during 2022-23. SH Maintenance works for Operational area at Kadapa Airport]  [AAI/ENGG(C)/AMC-OPERATIONAL AREA/2022-23][2023_AAI_143775_1],Airports Authority of India||Southern Region - AAI||TIRUPATI - AAI||ENGG CIVIL-VOTP - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SYNCGuqaXZZAxZXzJH1pE0Q%3D%3D,Airports Authority of India
15,2023-02-06 18:00:00,2023-02-28 18:00:00,2023-03-08 11:00:00,[Balance work of Construction of CISF Barracks including Kote Armory Ammunition etc and Dog Kennel at CE Goa]  [AAI/GOA/Engg(C)/Balance CISF Brk/2022-23][2023_AAI_143787_1],Airports Authority of India||Western Region - AAI||JABALPUR - AAI||ENGG CIVIL-VAJB - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SHH%2ByEm5583vSLLyZ3AU1ZQ%3D%3D,Airports Authority of India
16,2023-02-06 18:00:00,2023-02-27 11:00:00,2023-02-28 11:30:00,[Provision of Runway Threshold identification lighting at Puducherry Airport]  [PROVISION OF RUNWAY THRESHOLD IDENTIFICATION LIGHT][2023_AAI_143249_1],Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG ELECT-SR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SKHP%2FXfrchv2ifAEnKFk7FA%3D%3D,Airports Authority of India
17,2023-02-06 18:00:00,2023-02-27 18:00:00,2023-03-01 11:00:00,[AR MO of Civil works during 2022-23. SH Maintenance works for Non-Operational area at Kadapa Airport]  [AAI/ENGG(C)/AMC-NON-OPRNL. AREA/2022-23][2023_AAI_144150_1],Airports Authority of India||Southern Region - AAI||TIRUPATI - AAI||ENGG CIVIL-VOTP - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Sr89UXTXFLyUgQKGOtRzWog%3D%3D,Airports Authority of India
18,2023-02-06 17:00:00,2023-03-02 17:00:00,2023-03-03 17:00:00,"[Concession to design, fit-out, finance, develop, market, operate, maintain and manage the retail outlets at the Chennai Airport]  [CL-13023/9/2022/Feb2023][2023_AAI_144328_1]",Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||COMMERCIAL-VOMM - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SnwDG2e1lY4Qc6%2B%2FYrkwi6A%3D%3D,Airports Authority of India
19,2023-02-06 16:00:00,2023-02-27 16:00:00,2023-02-28 16:00:00,"[ADVERTISING RIGHTS CONCESSION TO DESIGN, DEVELOP, OPERATE, AND MARKET, THE ADVERTISING OPPORTUNITY AT Pune AIRPORT]  [02/2023][2023_AAI_144254_1]",Airports Authority of India||Western Region - AAI||PUNE - AAI||COMMERCIAL-VAPO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SKwuTUQAwv7QnwEY7wR0THA%3D%3D,Airports Authority of India
20,2023-02-06 15:00:00,2023-02-27 15:00:00,2023-02-28 15:00:00,[LICENSE FOR STAFF CANTEEN AT TRICHY INTERNATIONAL AIRPORT]  [AAI/TR/COMML/STAFFCANTEEN/2023][2023_AAI_143325_1],Airports Authority of India||Southern Region - AAI||TRICHY - AAI||COMMERCIAL-VOTR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SH9NB1lTroxTdNCo1v1BEWg%3D%3D,Airports Authority of India
21,2023-02-06 15:00:00,2023-02-27 18:00:00,2023-03-01 11:00:00,[Testing for (Water Act/ Air Act/ Noise Act) for Environmental Monitoring and Operational Consent 2022-23 at Aurangabad Airport]  [AAI/AUR/E-C/W-121/ 2023][2023_AAI_144177_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG CIVIL-ER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SQBz1qdNXUX4PIdS2sjgATw%3D%3D,Airports Authority of India
22,2023-02-06 15:00:00,2023-02-27 11:00:00,2023-02-28 11:30:00,[AAI/JH/E-C/Non-ops/2023-24]  [AAI/JH/E-C/Non-ops/2023-24][2023_AAI_144258_1],Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||ENGG ELECT-VEBS - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SJ8GQAoJiqHPVxYE%2BEfG7Ew%3D%3D,Airports Authority of India
23,2023-02-04 18:30:00,2023-02-27 18:00:00,2023-03-01 11:00:00,[SITC of 10 KLD packaged type Sewage Treatment Plant of SBR Technology including 7 years Operation and 5 years AICMC after 2 years DLP at Tezpur Airport]  [SITC of 10KLD packaged type Sewage Treatment Plant][2023_AAI_144043_1],Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG ELECT-NER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SccjDlv82RJorpqHJoOKQXA%3D%3D,Airports Authority of India
24,2023-02-04 13:30:00,2023-02-25 18:00:00,2023-02-27 11:00:00,[Provision of Baggage Handling System (BHS)]  [AAI/BBSR/2022-23/PROVISION OF BHS][2023_AAI_142041_2],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG ELECT-ER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SmBPfiPi%2Bbmf3lIfyLnf7nQ%3D%3D,Airports Authority of India
25,2023-02-04 09:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,[Provision of fountain water cooler at Coimbatore International Airport]  [AAI/CBE/E-E/WATER FOUNTAIN/22-23][2023_AAI_144028_1],Airports Authority of India||Southern Region - AAI||VIJAYWADA - AAI||ENGG ELECT-VOBZ - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SoTMBnnEhwwqUXpH14uEv%2FQ%3D%3D,Airports Authority of India
26,2023-02-03 18:55:00,2023-02-25 15:00:00,2023-02-27 15:00:00,"[Licence for Operating Spa and Wellness centre at Domestic SHA, New Integrated Terminal Building, Goa International Airport, Dabolim.]  [AAI/COMML/GOA/SPA/2023][2023_AAI_143571_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Sm781ZZnTT%2Bc8jZZytFwsgw%3D%3D,Airports Authority of India
27,2023-02-03 18:00:00,2023-02-27 18:00:00,2023-03-01 11:00:00,"[Rectification/repairing of condenser water pipeline of HVAC System at S. V. Airport, Raipur]  [AAI/RPR/EE/CTPipeline/23/NIT5][2023_AAI_143925_1]",Airports Authority of India||Eastern Region - AAI||RAIPUR - AAI||ENGG ELECT-VARP - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SeUtrwGUyjMBfv26PmVTWUg%3D%3D,Airports Authority of India
28,2023-02-03 18:00:00,2023-02-25 18:00:00,2023-02-27 11:30:00,[Annual Repair and Maintenance Contract of civil works in Terminal building and Operational area for the year 2023-24 at Diu Airport]  [AAI/DIU/SM (E-C)/W-23/E-NIT/2022-23/][2023_AAI_143864_1],Airports Authority of India||Western Region - AAI||DIU - AAI||ENGG CIVIL-DIU - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SY8o9UwOgd5NBXjHEoVDL%2BQ%3D%3D,Airports Authority of India
29,2023-02-03 11:00:00,2023-02-13 11:00:00,2023-02-14 11:00:00,"[Short Term License to operate Retail outlet for sale of Home, Travel and Life Style accessories in SHA F/F at Srinagar International Airport, Srinagar]  [AAI/SXR/COMML/RETAIL/6/2023][2023_AAI_143796_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SZ6YVLUuKd5bGONVFWoQATA%3D%3D,Airports Authority of India
30,2023-02-03 11:00:00,2023-02-10 17:00:00,2023-02-13 11:00:00,[Notice for EOI with quotation from eligible and willing evaluators / Assessors at Chennai Airport]  [AAI/CH/LM/TrujetBATS/2023/77][2023_AAI_143898_1],Airports Authority of India||Southern Region - AAI||VIJAYWADA - AAI||ENGG CIVIL-VOBZ - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SGIwU61vDJZcKiMylx81DgQ%3D%3D,Airports Authority of India
31,2023-02-03 11:00:00,2023-02-24 18:00:00,2023-02-27 11:00:00,"[Annual Maintenance Contract (2023-25) for E and M installations at Jorhat Airport, Jorhat.]  [AMC (23-25)for E M installations at Jorhat Airport][2023_AAI_143779_1]",Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG ELECT-NER - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SC0cIqHUq9F7QwFtsPwGreg%3D%3D,Airports Authority of India
32,2023-02-02 18:55:00,2023-02-24 11:00:00,2023-02-27 11:00:00,[Miscellaneous Civil works in Operational area at Imphal Airport]  [AAI/IMP/JGM-EC/Misc. Work/22-23][2023_AAI_142209_1],Airports Authority of India||Western Region - AAI||INDORE - AAI||ENGG CIVIL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SDDFBK79cOnPXzPuTC4sj1Q%3D%3D,Airports Authority of India
33,2023-02-02 18:30:00,2023-02-24 18:00:00,2023-02-27 11:00:00,"[Augmentation of power supply for ILS system and ATS building at MBB Airport, Agartala]  [AAI/AGT/AGM(E-E)/ENIT-06/22-23][2023_AAI_142673_1]",Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||ENGG ELECT-VECC - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SiH5Gy5fpo22FYM5uHIZo8A%3D%3D,Airports Authority of India
34,2023-02-02 18:00:00,2023-02-24 18:00:00,2023-02-27 15:30:00,"[AR and MO Civil works at Trichy Airport during the year 2023-2024. S.H Civil Repair and Maintenance works in Non-Operational area including Colony, CISF barrack, Car parking area and Power house.]  [AAI/TRY/ENGG(C)/AR and MO(RESI)/23-24][2023_AAI_142943_1]",Airports Authority of India||Southern Region - AAI||TRICHY - AAI||ENGG CIVIL-VOTR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SLF1r0YozYyWGHaFABmboqA%3D%3D,Airports Authority of India
35,2023-02-02 17:00:00,2023-02-24 17:00:00,2023-02-27 17:00:00,"[Concession to design, fit-out, finance, develop, market, operate, maintain and manage the retail outlets at the Calicut International Airport ]  [04/2023][2023_AAI_143795_1]",Airports Authority of India||Southern Region - AAI||CALICUT - AAI||COMMERCIAL-VOCL - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SbdyyJ79hrAkjMWP7SA3Asw%3D%3D,Airports Authority of India
36,2023-02-02 15:00:00,2023-02-23 11:00:00,2023-02-24 11:30:00,[AAI/JH/E-C/Ops-W/eNIT/2023-24]  [AAI/JH/E-C/Ops-W/eNIT/2023-24][2023_AAI_143780_1],Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||ENGG ELECT-VEBS - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SN6Ky%2B2sofE3YyyVjLZPA5A%3D%3D,Airports Authority of India
37,2023-02-02 10:00:00,2023-02-14 17:30:00,2023-02-17 11:00:00,[SITC of ANPR at the approach gate]  [AAI/CL/CNS/AS/NIT-03(2)/22-23 ][2023_AAI_143686_1],Airports Authority of India||Southern Region - AAI||CALICUT - AAI||CNS-VOCL - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SnrHtEwgRUGaGUM7hRPoGmg%3D%3D,Airports Authority of India
38,2023-02-02 09:00:00,2023-02-23 18:00:00,2023-03-03 11:00:00,[Construction of Terminal Building and associated works at Leh Airport SH Provision of structural glazing system in the New Terminal Building]  [AAI/Leh/Project/TGU/2022-23][2023_AAI_143755_1],Airports Authority of India||Eastern Region - AAI||RANCHI - AAI||ENGG CIVIL-VERC - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SFC%2F7dyD30NUYFZTANAd%2FHQ%3D%3D,Airports Authority of India
39,2023-02-01 18:50:00,2023-02-22 18:00:00,2023-02-24 11:00:00,"[Cleaning of Jungle, bushes etc. in operational area at Kota Airport 2022-23, Ph-II]  [AAI/KOTA/Engg-C/Jungle/2022-23][2023_AAI_143735_1]",Airports Authority of India||Northern Region - AAI||KANGRA - AAI||ENGG CIVIL-KANGRA - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SYyrYb0INZtn%2ByxS1SUD6Ew%3D%3D,Airports Authority of India
40,2023-02-01 17:00:00,2023-02-24 18:00:00,2023-02-28 11:00:00,[Providing and fixing of tactile flooring at Silchar Airport for guidance of Visually Impaired Divyang]  [AAI/Sil/Engg (C)/Tactile Flooring][2023_AAI_143191_1],Airports Authority of India||North East Region - AAI||SILCHAR - AAI||ENGG CIVIL-VEKU - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SK0o7hLojrsuMRjsLM03M9w%3D%3D,Airports Authority of India
41,2023-02-01 13:00:00,2023-02-21 15:00:00,2023-02-22 15:00:00,"[All Inclusive Comprehensive Maintenance Contract of 3x600TR Carrier-make and 3x300TR York-make Chiller plants at SGRDJI Airport, Amritsar for 02 years (2023-25).]  [AAI/ASR/ENGG-E/eNIT-15/22-23][2023_AAI_143487_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||ENGG ELECT-AMRITSAR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S%2Ffn49EMZTXtmbb7PwvM9eA%3D%3D,Airports Authority of India
42,2023-02-01 10:00:00,2023-02-21 18:00:00,2023-02-23 11:00:00,"[Operation and Maintenance Contract of Electrical and Mechanical Installations at NDB, Songadh. (For 2 year Period) (Yr 2023-24 and 2024-25).]  [AAI/BO/EE/NIT11/AMCSON/2022-23][2023_AAI_143014_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||ENGG ELECT-VABO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S26mcMBHdJXUmr1UKjmjRng%3D%3D,Airports Authority of India
43,2023-01-31 18:55:00,2023-02-21 18:00:00,2023-02-23 11:00:00,"[Miscellaneous civil works in non operational area at VSS Airport, Jharsuguda]  [AAI/JH/AGME (C)/C-W/eNIT/2022-23][2023_AAI_143538_1]",Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||ENGG ELECT-VEBS - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SdBpysV9bo73BiD%2Bq59T3dA%3D%3D,Airports Authority of India
44,2023-01-31 18:30:00,2023-02-20 16:00:00,2023-02-21 16:00:00,[Tender for License for Snack Bar Services (Departure)]  [CL-12017/2/2022-APD-NR-AGRA][2023_AAI_143481_1],Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SkB5aDgsDyvW5cMzOoFPG5g%3D%3D,Airports Authority of India
45,2023-01-31 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,[BDU/ MRO/ Kolkata 2]  [BDU/ MRO/ Kolkata 2][2023_AAI_143387_1],Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SoxogzFiX7bmDmZ9Sc7Pv%2BA%3D%3D,Airports Authority of India
46,2023-01-31 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,[BDU/ MRO/ Begumpet 3]  [BDU/ MRO/ Begumpet 3][2023_AAI_143382_1],Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SvYF4hqjLZyoGKqlj5PzDXg%3D%3D,Airports Authority of India
47,2023-01-31 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,[BDU/ MRO/ Begumpet 2]  [BDU/ MRO/ Begumpet 2][2023_AAI_143381_1],Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SnvAeU%2FGuUw5D9mBhu73jWQ%3D%3D,Airports Authority of India
48,2023-01-31 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,[MRO Site 1 at Begumpet Airport]  [BDU/ MRO/ Begumpet 1][2023_AAI_143375_1],Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SRPa0KYsWff3qSOD00aQpEA%3D%3D,Airports Authority of India
49,2023-01-31 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,[BDU/ MRO/ Tirupati 2]  [BDU/ MRO/ Tirupati 2][2023_AAI_143416_1],Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Shs7%2BrZkl4SWvgO0R9II3qQ%3D%3D,Airports Authority of India
50,2023-01-31 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,[BDU/ MRO/ Kolkata 3]  [BDU/ MRO/ Kolkata 3][2023_AAI_143391_1],Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S2%2FVDcjDqfIkW7mJDkSfS1A%3D%3D,Airports Authority of India
51,2023-01-31 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,[BDU/ MRO/ Kolkata 4]  [BDU/ MRO/ Kolkata 4][2023_AAI_143396_1],Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SmBoTtWBz7Rwy58ZjUd3TgA%3D%3D,Airports Authority of India
52,2023-01-31 18:00:00,2023-02-21 18:00:00,2023-02-23 11:00:00,[Repair of old Airfield Lighting circuits of Runway and Approach at Lilabari Airport]  [AAI/LBR/AGM(E-E)/AGL/CW-06][2023_AAI_143489_1],Airports Authority of India||CHQ - AAI||Engineering Electrical - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Sd79zHVM8qdECmPybvCAUTg%3D%3D,Airports Authority of India
53,2023-01-31 18:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,[LICENSE FOR COMMUNICATION CENTRE AT PUBLIC CONCOURSE AREA OF TRICHY INTERNATIONAL AIRPORT]  [AAI/TR/COMML/COMMUNICATION CENTRE][2023_AAI_143326_1],Airports Authority of India||Southern Region - AAI||TRICHY - AAI||COMMERCIAL-VOTR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SgxhMcr8JRuZu%2FtIfeZDU3w%3D%3D,Airports Authority of India
